PopMultiplier,drones,Cases,Deaths,Vaccinations,Deliveries
0.25,1,40497.674901454266,1290.2531743131033,194713.4842263114,1940.51
0.25,3,35285.68152342426,1124.2404122750938,230245.81250898578,2912.7
0.25,5,31557.34385054201,1005.4851510226873,242605.78731988743,3239.7
0.25,7,29017.242968613977,924.5776875979652,244459.32733951806,3328.93
0.25,9,27409.641949391906,873.3722722528094,244530.47183671955,3363.06
0.25,11,26381.02314272283,840.6086371212535,244734.98399482624,3387.11
0.25,13,25718.711945259663,819.5126564945429,246296.28582092712,3423.92
0.25,15,25206.40149178752,803.194509612955,245545.5425467379,3419.72
0.25,17,24791.891143442386,789.9914982308444,245668.5144816052,3433.12
0.25,19,24500.7513488035,780.7180939895306,245461.51657495985,3432.63
0.25,21,24276.302195205433,773.5689245139253,245607.56016038795,3439.67
0.25,23,24103.732943434836,768.0722371465107,245189.7280423605,3434.1
0.25,25,23968.45620025746,763.7633932609716,245100.8074183476,3435.27
0.5,1,88287.28600608672,2812.451067024915,347399.30900348246,2815.23
0.5,3,82750.82960515714,2636.1034876315807,394252.7452713693,4523.26
0.5,5,78056.57904339583,2486.581904588435,436559.5877407233,5532.96
0.5,7,74228.54781416606,2364.651197623536,467108.3650862665,6207.72
0.5,9,70817.08982376264,2255.989209314839,484710.2966754204,6593.16
0.5,11,68100.8982948189,2169.4728948698994,493014.6494523234,6796.09
0.5,13,66090.57715948766,2105.4400114546124,500009.90490183106,6946.27
0.5,15,64392.67978282421,2051.3584705139765,503279.5668390442,7039.03
0.5,17,62888.854839928674,2003.4585377263752,505070.9430333383,7082.95
0.5,19,61837.385501945835,1969.9670659578205,506748.892691154,7125.93
0.5,21,60834.08602763858,1938.0099039098714,507283.18877638,7147.53
0.5,23,60153.808342395154,1916.3416535201895,507001.88398408337,7150.98
0.5,25,59748.96906547013,1903.4466857576426,509822.8162705614,7202.73
0.75,1,137649.0081433243,4384.723943946325,488314.39899174235,3596.48
0.75,3,131570.00488878947,4191.09512685587,533559.6712056703,5824.42
0.75,5,126298.37039969377,4023.1826727048374,588770.2241803851,7243.74
0.75,7,121515.72842776102,3870.845640709366,636902.5430731507,8323.04
0.75,9,117179.4744519057,3732.72698893292,672120.7749752037,9066.79
0.75,11,113549.54959161812,3617.1063793695594,693296.8643417743,9503.7
0.75,13,110744.74418117858,3527.767529725467,707424.6039114082,9805.84
0.75,15,108245.23748910977,3448.1530752650074,722553.1799970173,10104.38
0.75,17,106085.39716420157,3379.357696658366,729877.5412417784,10267.04
0.75,19,104130.88414185269,3317.102417032972,735719.2484691411,10382.31
0.75,21,102367.21462620766,3260.925897548262,740555.2546566139,10493.73
0.75,23,101182.18749698653,3223.180334089952,744505.6861570424,10571.91
0.75,25,100496.14023760994,3201.3283108477945,747615.6514845939,10616.8
1,1,189064.2345472934,6022.405174120725,624198.9386200887,4298.42
1,3,183375.60036130098,5841.210420326487,663854.4812450301,7043.3
1,5,178215.13583176874,5676.838959790501,723771.3619196587,8771.59
1,7,173353.2541742729,5521.977980441862,779929.8539881225,10102.92
1,9,168793.60147324126,5376.743617815302,825261.5724907755,11084.75
1,11,165126.46914060888,5259.937873549133,858560.4807472199,11749.45
1,13,162030.39744870106,5161.321590963346,882314.7757417205,12219.69
1,15,159485.7608024294,5080.269654309235,902506.1527232331,12610.76
1,17,156854.45469618242,4996.4571161839,918312.8083402335,12935.02
1,19,154571.1655707511,4923.729638205871,932483.3389085376,13191.58
1,21,152341.3705199837,4852.70605705356,941886.290394127,13378.68
1,23,151017.07161473724,4810.52439970233,951006.0215454447,13545.8
1,25,150310.52088365788,4788.019298525222,957546.839487255,13663.19
1.25,1,240154.81273564434,7649.745684906689,765837.6752909443,4967.28
1.25,3,234409.56675215572,7466.747730843123,798948.1593029854,8255.84
1.25,5,229297.06455183178,7303.90397054212,862236.814375108,10321.13
1.25,7,224346.07600864928,7146.204753293005,921902.2558175689,11858.14
1.25,9,219730.55674890496,6999.1909256925865,972019.7410788744,13032.52
1.25,11,215954.62542002823,6878.919708777161,1010580.2017343309,13813.32
1.25,13,212863.2108769225,6780.451766194515,1040355.689045183,14416.73
1.25,15,209988.92414035733,6688.899792962951,1066186.3626746056,14922.08
1.25,17,207195.39305116027,6599.920053976133,1088637.7133115125,15346.11
1.25,19,204751.36131405275,6522.072591695077,1105494.4343743136,15673.99
1.25,21,202375.47245815978,6446.3956209863245,1124407.5338551146,16020.9
1.25,23,200947.05377758414,6400.897533641377,1138275.0094978944,16282.38
1.25,25,200124.47632957558,6374.696741733235,1143544.9714555973,16390.14
1.5,1,290179.9125346404,9243.14850344379,911895.7194398065,5620.43
1.5,3,284268.93644463364,9054.871706629901,940763.5724705899,9514.27
1.5,5,278789.9716629462,8880.35535705691,1006959.2679383389,11911.29
1.5,7,273427.1818777716,8709.539419921737,1067912.6156446307,13644.56
1.5,9,268471.71571478393,8551.697581365388,1121136.7308792335,14979.61
1.5,11,264262.6104692139,8417.628880182283,1163980.2420952988,15909.37
1.5,13,261027.11632769983,8314.571704812493,1198117.1846538642,16599.04
1.5,15,257915.8843540637,8215.4725362299,1229561.0312871963,17214.11
1.5,17,254935.02547341693,8120.526020074296,1251669.9372833474,17665.29
1.5,19,252284.6093383841,8036.104788291176,1276796.2164532507,18151.83
1.5,21,249656.7793073416,7952.402970543808,1299089.847391338,18570.14
1.5,23,247939.8462023594,7897.715102518459,1311614.7248414492,18808.33
1.5,25,247083.84164325046,7870.449588050749,1322385.1615260544,18985.41
1.75,1,340570.2489645851,10848.18485962523,1055408.9435692672,6213.21
1.75,3,334472.77844096994,10653.967834882611,1088159.3620886742,10788.5
1.75,5,329060.6711624518,10481.581036867608,1157681.5410951453,13547.72
1.75,7,323451.1002715215,10302.904612592327,1220582.8348703731,15520.57
1.75,9,318115.64209782233,10132.959243833115,1272113.6554913016,16946.4
1.75,11,314112.9540084355,10005.465356122555,1319201.403639175,18000.98
1.75,13,310513.2357789055,9890.80689102357,1355590.878413454,18774.88
1.75,15,307282.45564218354,9787.899866600697,1388749.7299200161,19441.87
1.75,17,304090.03324071405,9686.21461524101,1416318.9191330764,19998.21
1.75,19,301331.4021338455,9598.346513121223,1442507.991446593,20534.05
1.75,21,298549.509333797,9509.737477915945,1467057.782038561,21001.4
