VaccType,Teams,Cases,Deaths,Vaccinations,Deliveries
Targeted,                1,                189559.75843852016,                6038.188634337497,                426841.34698172606,                6504.46
Targeted,                3,                170565.5566569088,                5433.184052545522,                389609.99058534554,                5696.21
Targeted,                5,                163127.53310186733,                5196.267628983233,                393168.36042232305,                5462.0
Targeted,                7,                157731.36301637118,                5024.388458421417,                405439.93531322887,                5424.41
Targeted,                9,                153645.2793919063,                4894.238249371283,                422141.0061178759,                5508.71
Targeted,                11,                150769.24951357525,                4802.630753159462,                441814.3240135496,                5677.16
Targeted,                13,                149285.7490924002,                4755.378198407066,                455478.63267076714,                5781.78
Targeted,                15,                148123.60551553883,                4718.361523387986,                462962.8552988623,                5798.07
Targeted,                17,                147125.1546756527,                4686.558800387273,                468709.8158685009,                5815.31
Targeted,                19,                146202.80204011907,                4657.179962485371,                473296.82412029064,                5826.1
Targeted,                21,                145603.50501986025,                4638.091113665342,                476947.1236638225,                5849.64
Targeted,                23,                144982.68403302872,                4618.3166820213055,                480171.2164399273,                5867.59
Targeted,                25,                144612.0976689466,                4606.512740330207,                482026.5235311149,                5877.9
Targeted,                27,                144204.60512001536,                4593.5332603716515,                482915.6180770763,                5871.67
Targeted,                29,                143873.50907251408,                4582.987166893048,                483419.17088121176,                5865.29
Untargeted,                1,                198766.6437036699,                6331.4469427321865,                1028838.8,                15964.98
Untargeted,                3,                192471.4004812752,                6130.930450679305,                1022913.1026368273,                15123.72
Untargeted,                5,                189112.52575153875,                6023.943350339853,                898815.7386490925,                12735.65
Untargeted,                7,                186123.56323986044,                5928.738717537031,                809494.6737803483,                11052.1
Untargeted,                9,                183488.28294674546,                5844.799593964237,                748792.1174118072,                9878.81
Untargeted,                11,                180602.488599375,                5752.881079774773,                705013.2947739618,                9006.13
Untargeted,                13,                179069.31986685234,                5704.04648683536,                708529.1619953513,                8803.8
Untargeted,                15,                178241.55823241489,                5677.680567862265,                724632.0657082316,                8773.88
Untargeted,                17,                177135.19629754574,                5642.440653532328,                733171.5664491032,                8697.76
Untargeted,                19,                175896.7623590468,                5602.993972917664,                738055.4621918466,                8592.09
Untargeted,                21,                174537.8708272284,                5559.710468992498,                739003.371362573,                8469.62
Untargeted,                23,                173189.76875576394,                5516.770631677009,                738307.4679393114,                8346.33
Untargeted,                25,                172315.60908631008,                5488.926839414048,                742690.9260469554,                8307.01
Untargeted,                27,                171560.02862750218,                5464.860040066208,                751183.8139549996,                8306.88
Untargeted,                29,                170804.80357340377,                5440.804561107773,                756339.0466957567,                8291.71
