Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,city,265345.0210719582,8452.105900252092,859408.3342029791,2665.0
I,I,city,332817.11347404105,10601.231497535213,641571.1575044807,9213.21
I,S,city,329723.9004404938,10502.706269642253,586445.1452370734,8295.53
I,N,city,333062.38606899953,10609.043936575907,642570.2614210978,9242.37
I,EPE,city,322905.7022764557,10285.532565771526,558297.9218873207,7748.15
I,absI,city,334533.53454295016,10655.90305603268,574229.7377749562,7990.85
I,absS,city,332287.339268218,10584.357094377565,565581.7141822856,7880.98
I,absN,city,338225.44917039765,10773.498166985983,600161.0572329367,8359.5
S,uncapped,city,265234.6363044028,8448.589917257039,792359.3082811028,2665.0
S,I,city,334719.99817263504,10661.842307797062,611662.7879777842,9029.3
S,S,city,331400.5490998523,10556.110994581622,567398.5957812069,8240.81
S,N,city,335286.2293412614,10679.877940721903,615332.8851511719,9088.32
S,EPE,city,324113.1602637135,10323.992598157283,539438.2062798477,7809.69
S,absI,city,335997.84425651125,10702.544346619241,561365.4207263575,7977.54
S,absS,city,333816.5247833371,10633.064813367784,548567.9361770011,7820.64
S,absN,city,339918.80893644097,10827.435175057873,592312.407154257,8467.74
N,uncapped,city,265345.4698003989,8452.120193179766,859528.105811352,2665.0
N,I,city,332846.883602393,10602.179737630915,645703.2426458118,9249.02
N,S,city,329617.4008812278,10499.31403855544,589217.1993594118,8304.15
N,N,city,332879.1175382827,10603.2064550983,644863.1685346627,9249.91
N,EPE,city,322807.22682271077,10282.3959190526,559340.8209611957,7740.92
N,absI,city,334215.096741967,10645.760153934632,574035.540946732,7975.08
N,absS,city,332352.52795429644,10586.43348877453,566428.4495807273,7884.52
N,absN,city,338011.5374125195,10766.684635413842,600508.4861216085,8359.64
EPE,uncapped,city,259832.1072959896,8276.508201929804,752388.6217498893,2665
EPE,I,city,325552.91948677984,10369.851904138286,566779.9727408442,8522
EPE,S,city,324969.01857859764,10351.253453863304,538548.6227508764,8029
EPE,N,city,325552.91948677984,10369.851904138286,566779.9727408442,8522
EPE,EPE,city,324309.6879686112,10330.25241138207,506855.17198657925,7513
EPE,absI,city,338185.012679613,10772.210181542396,530475.0790992022,8132
EPE,absS,city,339896.5344471157,10826.725687454458,532006.6999166984,8027
EPE,absN,city,328476.81602180493,10462.984052378855,545002.0508998599,8091
I/N,uncapped,city,265346.9816810412,8452.168349703556,859350.6253535954,2665.0
I/N,I,city,333038.2460254179,10608.275026324036,641619.9915496625,9226.37
I/N,S,city,329426.0583876469,10493.219384666818,586718.5593349874,8288.2
I/N,N,city,333194.2123597006,10613.242876406475,642771.7235449705,9242.12
I/N,EPE,city,322987.93131987023,10288.151730760792,558292.856983582,7747.88
I/N,absI,city,334170.2305397207,10644.331072654028,574139.7954979745,7973.17
I/N,absS,city,332318.34934249276,10585.344829326008,566251.8288281269,7889.52
I/N,absN,city,338358.6464317225,10777.740775061731,600126.8667798871,8361.37
spread,uncapped,city,263996.43681926554,8409.15070442462,868083.3214871925,2665.0
spread,I,city,332696.066089851,10597.375888138176,648273.5227639666,9271.76
spread,S,city,328943.9365496328,10477.862807685902,589008.4416374097,8270.92
spread,N,city,332733.51327795367,10598.568658470009,648603.9306212688,9267.38
spread,EPE,city,322405.225604205,10269.591349385159,560624.3063230073,7726.77
spread,absI,city,333965.72376105917,10637.817109114367,576193.7046858298,7965.61
spread,absS,city,331733.40751368384,10566.713223123188,568147.6243893265,7865.0
spread,absN,city,337849.49016844505,10761.523095754,603434.2431673948,8349.89
