Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,monocentric,109441.67733187394,3486.262157739793,491732.5974140412,3165.0
I,I,monocentric,146982.2907142344,4682.008287958333,456146.824890142,5766.02
I,S,monocentric,143161.70139838013,4560.314621648712,404038.99621282873,4920.06
I,N,monocentric,149833.60082624882,4772.8284083972285,469290.31424568564,5941.05
I,EPE,monocentric,139340.54539730874,4438.6029049237495,374596.988998184,4411.41
I,absI,monocentric,146550.16656412804,4668.244240594293,455421.24629883823,5747.33
I,absS,monocentric,143256.3322355502,4563.328809412333,400966.8280269046,4846.97
I,absN,monocentric,148204.62550353314,4720.942177470304,460881.8284821004,5826.63
S,uncapped,monocentric,108970.06923340881,3471.2404650118533,439177.88336900057,3165.0
S,I,monocentric,149321.22482717616,4756.5081740308115,380171.09468955063,5156.21
S,S,monocentric,146515.37912136107,4667.136188936548,362181.0347039915,4827.77
S,N,monocentric,151597.8838155819,4829.024468469965,386728.0574802202,5269.15
S,EPE,monocentric,140981.83664679425,4490.881423667568,328812.00535687036,4223.78
S,absI,monocentric,148806.0938614406,4740.100188017789,378707.2772358808,5128.22
S,absS,monocentric,145926.10976264547,4648.366741909515,356177.154258665,4705.03
S,absN,monocentric,150691.361165904,4800.14984837856,383637.13811997516,5211.22
N,uncapped,monocentric,109534.23079241467,3489.2101767615295,491444.2916464506,3165.0
N,I,monocentric,146959.5055658324,4681.282533885217,458475.5018021534,5736.68
N,S,monocentric,143305.96137174114,4564.909599960808,406307.0222738294,4903.66
N,N,monocentric,149896.89357146336,4774.844413136342,473022.3201469109,5928.67
N,EPE,monocentric,139192.35063681446,4433.882595492731,378649.6340053236,4436.14
N,absI,monocentric,146152.8741250638,4655.589655237593,456055.19070015266,5701.21
N,absS,monocentric,143581.69493569774,4573.692283901948,403721.4452925098,4841.88
N,absN,monocentric,148074.25782323853,4716.789697390484,462771.8127354024,5797.29
EPE,uncapped,monocentric,107195.06436219573,3414.702890999359,443810.6491993427,3165.0
EPE,I,monocentric,147145.60787173855,4687.210277062781,361867.3476029802,4825.0
EPE,S,monocentric,146768.11732535766,4675.186422972068,350454.8097255743,4589.0
EPE,N,monocentric,147179.49163239403,4688.289544859784,365866.392367455,4865.0
EPE,EPE,monocentric,141203.58137078639,4497.944451427945,323795.5816321676,4110.24
EPE,absI,monocentric,146943.7259572377,4680.779920817327,362484.68146010436,4838.0
EPE,absS,monocentric,148499.80172403573,4730.344150414174,350034.8444906325,4538.0
EPE,absN,monocentric,147189.05013427328,4688.594002907288,362354.63510833326,4830.0
I/N,uncapped,monocentric,112150.61495639359,3572.5474203176163,504571.4774838486,3165.0
I/N,I,monocentric,153541.26025652356,4890.925024906163,415606.86066315323,5837.97
I/N,S,monocentric,150336.8295347091,4788.85728332791,376391.21176152816,5190.25
I/N,N,monocentric,155641.28793224652,4957.815246930611,424999.15984039695,5996.04
I/N,EPE,monocentric,145657.58099944703,4639.813545768222,336776.7544626526,4444.1
I/N,absI,monocentric,153085.32192211426,4876.402446548717,413671.1124583707,5817.48
I/N,absS,monocentric,149892.6246670182,4774.708440173965,371640.5605541849,5097.41
I/N,absN,monocentric,154797.06189228673,4930.924902643154,419496.113908094,5906.41
spread,uncapped,monocentric,112776.63687764779,3592.4875124591285,507270.7429749668,3165.0
spread,I,monocentric,153332.03700792318,4884.260831938176,433472.3718158611,6040.0
spread,S,monocentric,149570.87758607743,4764.460130624451,380029.269049516,5183.0
spread,N,monocentric,155256.30239966465,4945.5526619453285,438942.2956678579,6119.0
spread,EPE,monocentric,145596.53151573613,4637.86899353177,340008.3356080851,4428.0
spread,absI,monocentric,152792.9938475568,4867.091193104596,430561.50338503905,5990.0
spread,absS,monocentric,149199.83904156837,4752.64178608336,375253.61231986486,5100.0
spread,absN,monocentric,154485.39899786058,4920.9977952341005,435423.0993709485,6067.0
