Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,polycentric,72421.67866160124,2307.098680458811,506853.6822144837,3689.0
I,I,polycentric,226101.00039787134,7202.102702411072,389028.83480141853,6102.25
I,S,polycentric,201212.6534547054,6409.357417056965,351841.8637073804,5534.96
I,N,polycentric,226176.56496872244,7204.5095857207525,385636.16118523374,6093.18
I,EPE,polycentric,195782.87072196315,6236.4076154556715,348974.40381309955,5526.49
I,absI,polycentric,238838.23787595346,7607.810038602579,376059.01963894715,5808.07
I,absS,polycentric,206362.552777171,6573.3923544339805,341932.08799589286,5322.33
I,absN,polycentric,257169.69653390005,8191.704878181186,369799.97727374063,5675.23
S,uncapped,polycentric,70914.12249697138,2259.079900712998,446628.5539263033,3689.0
S,I,polycentric,219119.63066770148,6979.731647986972,374892.6551194998,5907.76
S,S,polycentric,195170.0419651918,6216.887752496983,345569.5458023839,5458.07
S,N,polycentric,212526.95190139496,6769.741200950039,368802.82579980866,5845.53
S,EPE,polycentric,191406.99973966752,6097.02708080855,341891.2214435331,5426.65
S,absI,polycentric,223769.81503382538,7127.849628732236,365369.3052909156,5712.88
S,absS,polycentric,201015.88384853452,6403.089898773998,335999.6441356539,5260.2
S,absN,polycentric,239257.5279325141,7621.165290502689,372981.8763754917,5816.59
N,uncapped,polycentric,68872.19970783324,2194.040439260559,462057.1835087697,3689.0
N,I,polycentric,221767.36592605241,7064.067487021155,395825.8057672072,6131.71
N,S,polycentric,193678.84441645615,6169.390028718129,346037.80468136584,5379.04
N,N,polycentric,222146.25948029934,7076.136025276429,391196.9572523801,6124.86
N,EPE,polycentric,190718.96342431422,6075.111702188591,349757.9370624417,5482.75
N,absI,polycentric,236441.45690621773,7531.467610739093,379962.9051275523,5781.86
N,absS,polycentric,200125.87121696514,6374.741156916794,341651.20863075973,5249.65
N,absN,polycentric,255025.22484976816,8123.399021628472,378914.8200411411,5732.04
EPE,uncapped,polycentric,59246.916994821266,1887.4552896171108,417117.6529453551,3689
EPE,I,polycentric,225145.09905538862,7171.655269822043,369933.92827569647,5928
EPE,S,polycentric,212894.0751203526,6781.434837068962,365322.7104460945,5853
EPE,N,polycentric,215835.84827122316,6875.136392161511,371474.5427672859,5948
EPE,EPE,polycentric,210316.7260059943,6699.3409433758015,338733.2268099986,5411
EPE,absI,polycentric,228856.52477314186,7289.87184846471,370029.9639379468,5898
EPE,absS,polycentric,213286.57805991458,6793.93686798309,348679.394757212,5571
EPE,absN,polycentric,228291.50736858198,7271.874875674722,360739.87325868115,5762
I/N,uncapped,polycentric,83282.39954388137,2653.0350889759775,519555.55345111684,3689.0
I/N,I,polycentric,233372.74821658953,7433.722900202299,394166.8433004994,6136.79
I/N,S,polycentric,206770.0446563569,6586.371810269743,386909.5371207498,6081.45
I/N,N,polycentric,233660.330545775,7442.882989307242,394187.20881525596,6157.61
I/N,EPE,polycentric,197620.91598892128,6294.953155927369,352260.5959021914,5530.19
I/N,absI,polycentric,240100.83164355252,7648.026261256816,379251.73508635454,5830.0
I/N,absS,polycentric,218563.24284595513,6962.009544200486,378066.3289995473,5844.27
I/N,absN,polycentric,246938.93326990737,7865.833928559405,377349.2565866296,5793.61
spread,uncapped,polycentric,83258.1443300276,2652.262510414108,464579.7572694819,3689.0
spread,I,polycentric,224845.02922419782,7162.097425457667,388869.79402878514,5932.35
spread,S,polycentric,196439.92985811434,6257.336306375052,358263.59941890516,5492.26
spread,N,polycentric,221754.0665742607,7063.643872060575,389338.80839881994,5999.57
spread,EPE,polycentric,191665.9123331669,6105.273981990198,352123.0081107411,5446.93
spread,absI,polycentric,232365.47106318537,7401.639039033924,381474.4875678904,5740.64
spread,absS,polycentric,204516.49775502237,6514.59168587358,355278.67060800927,5367.75
spread,absN,polycentric,243863.12808998924,7767.863172925194,383025.53883543273,5726.12
