Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,rural,3921.562330826917,125.22838675634097,77458.28895065945,2124.0
I,I,rural,5249.4280390907425,167.52365424664814,85273.3041679429,1132.83
I,S,rural,5216.541222506194,166.47614116285231,84079.11141619046,1112.45
I,N,rural,5544.667862859194,176.92765288838274,87703.17642848438,1173.26
I,EPE,rural,5099.684577749624,162.7540154854214,81742.10815793354,1074.09
I,absI,rural,5202.444021326027,166.02711616570005,84883.63177976965,1126.32
I,absS,rural,5817.028584887206,185.6029048563246,85269.3883919409,1130.25
I,absN,rural,8505.57741986505,271.2387424401166,95976.71754370684,1304.23
S,uncapped,rural,3803.367020842657,121.46362182466164,74917.90289580097,2124.0
S,I,rural,6057.200964136915,193.25289157058018,76632.52221985627,1112.39
S,S,rural,6150.0647701816715,196.2107957431272,76302.5962660061,1103.43
S,N,rural,6210.364402703202,198.13146367468403,77736.77685206204,1130.89
S,EPE,rural,5903.163590610686,188.34648283042344,71726.98186745592,1031.15
S,absI,rural,6038.528249661663,192.6581270185477,76517.99203990941,1109.23
S,absS,rural,6868.081459065048,219.0811114172383,77608.20472948684,1122.02
S,absN,rural,9764.62621442625,311.342048991591,86573.02035588937,1267.8
N,uncapped,rural,3653.4242605570767,116.68763497875361,77185.83268925347,2124.0
N,I,rural,5342.440829405295,170.48630387500046,85673.77570725507,1135.05
N,S,rural,5330.460777544092,170.1047144624311,83868.94076010583,1104.33
N,N,rural,5641.589741001532,180.01481504374954,89087.52547935775,1192.23
N,EPE,rural,5225.4951159321745,166.76134117580193,79769.41854816703,1037.04
N,absI,rural,5300.058209936026,169.13632984057733,85418.27769844052,1131.17
N,absS,rural,6094.152091431573,194.4298613518531,85962.33847648045,1137.0
N,absN,rural,9315.702307822517,297.0428946376791,101440.7517578492,1389.76
EPE,uncapped,rural,3511.263625987879,112.1595249225063,73196.57405894944,2124
EPE,I,rural,5134.445236886004,163.86121432844658,75604.61288721419,1054
EPE,S,rural,5206.4175970094875,166.1536827657543,73835.54279085385,1032
EPE,N,rural,5409.656360876702,172.62725748349683,78431.21539127495,1101
EPE,EPE,rural,5115.645300777276,163.26239750423008,74189.6905701293,1030
EPE,absI,rural,5090.8541825837565,162.4727491470465,75206.52200587938,1051
EPE,absS,rural,5888.817834199986,187.88954083470173,75570.51137612211,1056
EPE,absN,rural,8908.770787898051,284.0812846064713,86782.97213649824,1245
I/N,uncapped,rural,3919.569765113347,125.16491941974655,77425.87382581685,2124.0
I/N,I,rural,5244.205894934405,167.35731816121847,85172.38225623166,1131.14
I/N,S,rural,5220.388440056419,166.59868299400395,84092.13213041518,1112.65
I/N,N,rural,5556.549413911973,177.30610484839343,87877.87825947689,1176.14
I/N,EPE,rural,5100.781702343385,162.78896117145734,81840.7273794798,1075.75
I/N,absI,rural,5195.093544610102,165.7929882889882,84866.25860293733,1126.04
I/N,absS,rural,5831.821220755455,186.07408088493554,85334.85770392709,1131.3
I/N,absN,rural,8523.272440443538,271.8023654208338,96050.60992788947,1305.29
spread,uncapped,rural,3642.9440936355786,116.35381999985941,77165.99423676496,2124.0
spread,I,rural,5321.369220380013,169.81512957265502,85630.05553171365,1134.94
spread,S,rural,5306.887322287142,169.35385118631143,83822.8919964409,1104.09
spread,N,rural,5631.245440436167,179.68532768913042,89066.69382666663,1192.17
spread,EPE,rural,5229.20762310246,166.87959220290614,79748.56992693538,1036.63
spread,absI,rural,5293.998699575869,168.94332191062952,85407.16952224592,1131.26
spread,absS,rural,6096.497569531661,194.50456967743713,85942.31353659045,1136.74
spread,absN,rural,9317.211357489052,297.090960988798,101456.14231718317,1389.71
