Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,city,340720.51627455023,10852.97121132125,1309729.1015911105,2665.0
I,I,city,373903.318967412,11909.912049795157,1300127.4264769692,18334.02
I,S,city,373862.9714643625,11908.626898460163,1281500.9768638664,17907.93
I,N,city,373921.89726178197,11910.503806836226,1300814.0113784843,18355.41
I,EPE,city,370402.712386416,11798.410496184979,1196378.1701008216,16758.52
I,absI,city,375617.63272566104,11964.516483158197,1251052.982823955,16960.27
I,absS,city,374868.9046773941,11940.667948797165,1207807.976907569,16437.03
I,absN,city,376457.33365357056,11991.262692611532,1257230.5082144544,17055.69
S,uncapped,city,340719.2427243452,10852.930646115947,1293802.4743655843,2665.0
S,I,city,374094.21251115395,11915.99240305119,1326277.8768171037,19041.1
S,S,city,374062.50673280825,11914.982508718596,1283609.0779113432,18303.09
S,N,city,374082.10721296206,11915.606824256978,1326238.9160135174,19072.21
S,EPE,city,370697.9197202187,11807.813459358851,1196069.6897502437,17081.4
S,absI,city,375855.30463944346,11972.086824248023,1273556.2849706241,17563.64
S,absS,city,375018.5433727737,11945.434250050275,1222519.065544146,16900.97
S,absN,city,376671.35286794597,11998.079646202466,1332828.91315194,18512.0
N,uncapped,city,340720.5570101462,10852.972508834258,1309757.9575312017,2665.0
N,I,city,373773.34326413326,11905.77205505885,1298797.5779471183,18298.84
N,S,city,373849.53684020817,11908.198977925666,1281825.793635729,17908.26
N,N,city,373835.94215466775,11907.765959091346,1299732.9848288626,18321.17
N,EPE,city,370342.2049037277,11796.483207834495,1196517.4551843773,16749.55
N,absI,city,375607.1177324317,11964.18155887337,1249967.708923545,16954.58
N,absS,city,374935.0413766436,11942.774539371792,1207213.4169414504,16428.54
N,absN,city,376453.50424871326,11991.14071819932,1255951.328240627,17026.98
EPE,uncapped,city,340181.8619115529,10835.81395664455,1285850.8006688321,2665.0
EPE,I,city,372266.3971551494,11857.772703845165,1195206.199995587,17007.0
EPE,S,city,372266.5672315877,11857.778121041214,1193352.9507714512,16965.0
EPE,N,city,372266.3971551494,11857.772703845165,1195206.199995587,17007.0
EPE,EPE,city,372734.20686139003,11872.67340888217,1186177.6989305338,17141.87
EPE,absI,city,372267.8660926278,11857.81949198046,1194049.757658807,17265.0
EPE,absS,city,372267.7454454777,11857.815649140808,1204310.8877583474,17376.0
EPE,absN,city,372267.776179832,11857.81662805065,1193783.1898380022,17249.0
I/N,uncapped,city,340722.8545313795,10853.045689633864,1309710.2563782732,2665.0
I/N,I,city,373792.1233220487,11906.370238692216,1297661.8604912367,18299.22
I/N,S,city,373842.0478469939,11907.960437994898,1282410.685818469,17934.11
I/N,N,city,373873.6405098805,11908.966729603613,1298354.0041679423,18306.81
I/N,EPE,city,370348.5048512215,11796.683874126331,1196351.7670597031,16775.11
I/N,absI,city,375586.82567507954,11963.53521493444,1250101.8817161808,16951.04
I/N,absS,city,374789.7397764942,11938.146383104837,1207799.1479517259,16423.21
I/N,absN,city,376553.6007219763,11994.328997663466,1258093.610663251,17084.27
spread,uncapped,city,339384.092967378,10810.403366998442,1318480.8886025574,2665.0
spread,I,city,373706.3700642903,11903.638820272186,1306526.4367648514,18328.46
spread,S,city,373706.57543244446,11903.645361694036,1286343.2806026773,17901.49
spread,N,city,373659.78791134275,11902.155082420888,1306689.8288381041,18334.06
spread,EPE,city,370162.66406187386,11790.764461112116,1196979.3477564377,16690.7
spread,absI,city,375543.8827184309,11962.167393063395,1252820.2871451436,16872.91
spread,absS,city,374698.09798065154,11935.227402611154,1209390.9385182296,16347.52
spread,absN,city,376440.7771824758,11990.735334855568,1255033.2941736958,16939.79
