Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,monocentric,148121.51972326325,4718.295087034679,799138.6859589787,3165.0
I,I,monocentric,178243.3070626198,5677.736271737622,717652.8718904188,8843.95
I,S,monocentric,176998.9309394655,5638.100320293469,688961.0841030403,8347.4
I,N,monocentric,178434.8501894424,5683.837316216448,721955.6759430676,8916.68
I,EPE,monocentric,175070.72024204963,5576.682824205644,666418.4388529196,8096.83
I,absI,monocentric,177858.69183116127,5665.4854816391735,713257.924037707,8733.38
I,absS,monocentric,177020.27531676367,5638.780182779528,688843.097977771,8243.48
I,absN,monocentric,178415.1499809794,5683.209823821285,718649.7553743087,8799.93
S,uncapped,monocentric,148032.8344305978,4715.470277164332,769308.9587746814,3165.0
S,I,monocentric,179378.01236926726,5713.878980847554,722548.5009511136,9386.19
S,S,monocentric,178239.60887237283,5677.618476650169,679057.998066271,8696.18
S,N,monocentric,179487.27763663157,5717.359305417491,730825.5835002118,9499.1
S,EPE,monocentric,176074.76201836605,5608.663629907719,646226.2714275748,8265.94
S,absI,monocentric,179010.9571396755,5702.187513112894,714041.9391657738,9230.05
S,absS,monocentric,178197.23578389164,5676.268806185316,667072.6817497495,8442.47
S,absN,monocentric,179571.10032661082,5720.029231320342,726812.4386750672,9401.65
N,uncapped,monocentric,148133.89805333753,4718.689362431634,799335.940203175,3165.0
N,I,monocentric,178051.16873461808,5671.616268884773,724766.0197388326,8840.59
N,S,monocentric,176923.59188988694,5635.700615869539,695917.9185973273,8354.23
N,N,monocentric,178264.20052252852,5678.401771621189,730780.9156780159,8942.79
N,EPE,monocentric,174915.0430200518,5571.724182941854,670592.9821474064,8063.86
N,absI,monocentric,177618.9231891682,5657.84835484666,717742.1546998671,8704.58
N,absS,monocentric,176865.4735598572,5633.849426884829,696419.6314057298,8250.69
N,absN,monocentric,178247.36466580315,5677.865514766099,725329.6659356024,8790.32
EPE,uncapped,monocentric,147438.5895353486,4696.542349012118,771117.209020813,3165.0
EPE,I,monocentric,183382.51323352408,5841.430609699854,630949.1995595496,8284.0
EPE,S,monocentric,182976.8144598432,5828.508265087177,623127.0877448627,8295.0
EPE,N,monocentric,183634.65461910013,5849.461833777426,635035.0481861142,8481.0
EPE,EPE,monocentric,183635.6707993787,5849.4942013681875,624996.3713045508,8146.0
EPE,absI,monocentric,183450.88683211978,5843.608450008221,630291.4332009928,8146.0
EPE,absS,monocentric,183099.45262619804,5832.414544037626,622322.791643098,8272.0
EPE,absN,monocentric,183700.46229289376,5851.557944169048,648640.2623696285,8577.0
I/N,uncapped,monocentric,149293.2198399027,4755.61615746138,804885.7764560389,3165.0
I/N,I,monocentric,183255.0550310625,5837.370802941151,670446.8984500302,9368.84
I/N,S,monocentric,182397.61203509476,5810.059471309656,654710.5529464538,9068.62
I/N,N,monocentric,183477.22315362317,5844.447316811989,675331.6112675678,9443.51
I/N,EPE,monocentric,180352.909359871,5744.931464957302,639485.7982839055,8899.24
I/N,absI,monocentric,182963.2149174508,5828.075092114022,665590.9246471097,9281.78
I/N,absS,monocentric,182449.12065877655,5811.700127395547,649961.6616049096,8951.18
I/N,absN,monocentric,183355.38103593877,5840.566393518016,671235.2363578172,9368.89
spread,uncapped,monocentric,149603.15888234528,4765.488356551192,806442.936777199,3165.0
spread,I,monocentric,182930.31311167293,5827.027101724346,656912.2125904824,9140.0
spread,S,monocentric,182159.24349894153,5802.466940837446,643823.2472151887,8880.0
spread,N,monocentric,183103.82678268608,5832.553870761704,659746.7248427662,9179.0
spread,EPE,monocentric,180299.6214904747,5743.2341362018315,640277.7814910512,8874.0
spread,absI,monocentric,182731.30022769445,5820.6881300077575,654618.0863100943,9090.0
spread,absS,monocentric,182248.99553720784,5805.325728707277,641225.9500961768,8783.0
spread,absN,monocentric,182983.85281403278,5828.732451883165,657567.8233982233,9135.0
