Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,polycentric,142949.0942820201,4553.54264244978,1107353.3033531036,3689.0
I,I,polycentric,266997.3285845299,8504.735237392682,880331.0442676066,13475.13
I,S,polycentric,254947.75883293137,8120.931523006309,863689.5292099592,13103.48
I,N,polycentric,262020.6980809475,8346.219260327225,879902.8332215525,13558.95
I,EPE,polycentric,253496.8775489156,8074.717976144949,880370.6568577028,13779.32
I,absI,polycentric,275239.06235917786,8767.25147635171,829648.3754765324,12179.56
I,absS,polycentric,263445.6659784239,8391.60741488706,825078.9190897153,12059.18
I,absN,polycentric,280208.1554309447,8925.527351219762,814573.3535251948,11791.11
S,uncapped,polycentric,125110.85039345207,3985.357706090074,996579.9636201684,3689.0
S,I,polycentric,260951.32353312153,8312.15747399534,913704.9925393969,14048.78
S,S,polycentric,245338.89674737054,7814.8694111031355,871501.1703570788,13354.31
S,N,polycentric,249153.97871931366,7936.387646895393,913932.4872251545,14147.61
S,EPE,polycentric,247865.33350910578,7895.341660595624,871669.2088146347,13655.91
S,absI,polycentric,266912.97939832765,8502.048513234342,854348.162407042,12803.16
S,absS,polycentric,261814.61408939172,8339.65503650681,814725.1735281057,12040.7
S,absN,polycentric,274832.9358531956,8754.315475439653,839565.3728146912,12526.93
N,uncapped,polycentric,128734.45925911046,4100.777137797901,1026932.9676874202,3689.0
N,I,polycentric,262803.1526178774,8371.142065038379,891557.4086932659,13526.81
N,S,polycentric,244976.49609474093,7803.326203695709,868213.4067481522,13100.2
N,N,polycentric,248761.88981052607,7923.898815572158,897191.8537325272,13751.09
N,EPE,polycentric,247782.2412079053,7892.695000856515,885377.6710317782,13710.64
N,absI,polycentric,272957.06635644636,8694.565187856986,837942.9908035254,12150.72
N,absS,polycentric,261310.1448091388,8323.586651697646,828386.8606912256,11948.16
N,absN,polycentric,278116.4353681289,8858.901743932402,823143.2863857523,11821.06
EPE,uncapped,polycentric,126078.32565676632,4016.173792244945,1032526.9855321061,3689.0
EPE,I,polycentric,269023.2814943432,8569.266005457555,799260.0,12521.0
EPE,S,polycentric,268504.3468674777,8552.736865099505,794100.0,12435.0
EPE,N,polycentric,269022.2228980018,8569.232286974117,800100.0,12535.0
EPE,EPE,polycentric,268295.76990696613,8546.093255742531,806733.0840502275,12614.0
EPE,absI,polycentric,268735.73800141824,8560.10714946252,802689.9507354319,12348.0
EPE,absS,polycentric,267289.355268784,8514.036869951564,790519.2631190972,12243.0
EPE,absN,polycentric,269362.5187616273,8580.071409427072,787307.427309918,12306.0
I/N,uncapped,polycentric,152760.49685898112,4866.0560914017215,1078241.911742853,3689.0
I/N,I,polycentric,271070.8662196861,8634.485823180095,886657.6323024323,13263.2
I/N,S,polycentric,259471.4502446496,8265.020436457888,897554.8928165842,13463.13
I/N,N,polycentric,270428.4756906926,8614.024350516513,892450.6587608182,13383.23
I/N,EPE,polycentric,254286.21752849102,8099.860083389683,880359.2257157288,13592.26
I/N,absI,polycentric,274079.46052301617,8730.315763134502,847625.5329712422,12292.89
I/N,absS,polycentric,266242.3431223585,8480.687361480666,853518.094884607,12372.77
I/N,absN,polycentric,276235.2475584581,8798.98202858767,858277.700928897,12586.64
spread,uncapped,polycentric,145674.53878644935,4640.353678540074,1024956.2876614751,3689.0
spread,I,polycentric,265179.55173720303,8446.835281271582,898710.3968782863,13297.24
spread,S,polycentric,252495.57407466837,8042.824362172172,891032.0647233329,13141.4
spread,N,polycentric,262233.63882622804,8353.001854233029,896120.5165623021,13338.36
spread,EPE,polycentric,249389.72812055156,7943.896777578169,890172.5728930364,13586.97
spread,absI,polycentric,267430.4238681151,8518.530202597958,869233.5911822185,12543.68
spread,absS,polycentric,258355.21840168053,8229.466134668297,859642.6860577879,12248.09
spread,absN,polycentric,271911.4590980439,8661.26041792888,861852.4792908042,12378.16
