Team strategy,Delivery strategy,Network type,Cases,Deaths,Vaccinations,Drone Deliveries
I,uncapped,rural,4711.852338690987,150.4007570295883,199110.09476013324,2124.0
I,I,rural,24129.780912857434,768.9019164380957,211400.3810188093,3001.26
I,S,rural,23046.462336517223,734.3959806112721,206932.50819031097,2920.16
I,N,rural,27140.464247134354,864.798403120807,221900.08641558624,3176.48
I,EPE,rural,24028.790001955313,765.6851474756829,206780.98986625235,2924.98
I,absI,rural,23698.13487584753,755.153097704015,211663.3794216395,3004.94
I,absS,rural,26049.181405493313,830.0387897471419,205497.66362045094,2880.28
I,absN,rural,31982.78294414022,1019.0362617191724,227793.4081169871,3255.48
S,uncapped,rural,4706.259951165064,150.2226279295232,195078.66135946356,2124.0
S,I,rural,27563.57118365556,878.2752341194855,202547.26337292063,3016.58
S,S,rural,25760.50559245944,820.8438681855729,196343.55317023594,2910.14
S,N,rural,29938.95985262862,953.9362729046167,206584.3663934366,3084.62
S,EPE,rural,26069.012757783312,830.6704594570077,192674.53861892066,2854.8
S,absI,rural,26883.14701770443,856.6023178720379,201559.72467822558,3000.62
S,absS,rural,28820.167436420557,918.3004224705608,195220.04288423312,2875.27
S,absN,rural,35352.76196273367,1126.3770608091565,203312.0887109486,3008.66
N,uncapped,rural,4389.612802470807,140.13676173595803,196910.65678196042,2124.0
N,I,rural,24917.892966358577,794.0049144514173,212656.427151388,3007.26
N,S,rural,23726.732835797324,756.0640021558711,207946.6630539415,2920.37
N,N,rural,28153.079339034335,897.0522867946548,226127.7543878078,3230.48
N,EPE,rural,24993.599758168682,796.4163324914273,203732.39726235464,2859.25
N,absI,rural,24145.171060854867,769.3921243529044,212614.65590581924,3005.32
N,absS,rural,26838.231300081145,855.1716598981932,206821.90371159557,2880.04
N,absN,rural,34471.27398290308,1098.2998464593934,225033.88212980793,3181.34
EPE,uncapped,rural,3662.7822469731195,116.98570618897392,191204.42704473782,2124.0
EPE,I,rural,23719.35386482139,755.8289666669348,201278.3994969861,2944.0
EPE,S,rural,22512.355060570113,717.3835599968837,194632.12323904797,2828.0
EPE,N,rural,24388.73488840263,777.1501359619616,202193.026247043,2960.0
EPE,EPE,rural,23849.59392083904,759.9773819283447,195441.86520560374,2848.0
EPE,absI,rural,23500.70416883429,748.864521687693,200555.01240902126,2932.0
EPE,absS,rural,22833.764787916803,727.621124054443,195538.10992504898,2834.0
EPE,absN,rural,26365.639061385406,840.1186194363014,205405.0251636556,2993.0
I/N,uncapped,rural,4695.100912293302,149.86718947379416,199056.84864371136,2124.0
I/N,I,rural,24142.049254886042,769.2926885158356,211208.17836832593,2998.23
I/N,S,rural,23017.415019351487,733.4707635245718,206755.61437015355,2917.18
I/N,N,rural,27130.196278763586,864.4713471055344,221847.8193347092,3175.5
I/N,EPE,rural,24019.892053186595,765.4017294141278,206781.3325022092,2924.81
I/N,absI,rural,23672.621591679002,754.3404468736184,211714.4586035909,3005.89
I/N,absS,rural,26034.064389003135,829.5572815261995,205442.65757202185,2879.34
I/N,absN,rural,32055.38671637709,1021.3488419739033,227837.5112652136,3256.05
spread,uncapped,rural,4332.762274247585,138.32595490236847,196907.9802854331,2124.0
spread,I,rural,24850.919122882904,791.8716590970258,212689.72677213055,3007.85
spread,S,rural,23712.61347690848,755.6142713909444,207979.77645394008,2920.32
spread,N,rural,28111.281889435904,895.7209516289255,226099.4095371464,3230.09
spread,EPE,rural,24964.63214181061,795.4936540318132,203723.58316061008,2858.66
spread,absI,rural,24123.977962275305,768.7170803595951,212687.84708263926,3005.5
spread,absS,rural,26784.17344652276,853.4498055247839,206827.0566198246,2879.86
spread,absN,rural,34461.253325271995,1097.9806677969611,225191.32208278152,3183.31
